id,Date,Location,Rainfall,MinTemp
120,2009-03-30,Albury,0,13.4
121,2009-03-31,Albury,0,12.3
122,2009-04-01,Albury,0,12.2
123,2009-04-02,Albury,0,14.3
124,2009-04-03,Albury,8.6,18.4
125,2009-04-04,Albury,12.6,10.7
126,2009-04-05,Albury,0,7.8
127,2009-04-06,Albury,0,8.1
128,2009-04-07,Albury,0,7.5
129,2009-04-08,Albury,0,8.2
130,2009-04-09,Albury,0,8.1
131,2009-04-10,Albury,0,11.6
132,2009-04-11,Albury,8.4,13
133,2009-04-12,Albury,6.2,13.5
134,2009-04-13,Albury,0,9.9
135,2009-04-14,Albury,0,12.2
136,2009-04-15,Albury,0,10.7
137,2009-04-16,Albury,0,3.5
138,2009-04-17,Albury,0,6.6
139,2009-04-18,Albury,0,7
140,2009-04-19,Albury,0,11.2
141,2009-04-20,Albury,0,7.4
142,2009-04-21,Albury,0,5.7
143,2009-04-22,Albury,0,6.2
144,2009-04-23,Albury,0,6
145,2009-04-24,Albury,0,10.6
146,2009-04-25,Albury,20,12.9
147,2009-04-26,Albury,21,8.6
148,2009-04-27,Albury,3.2,4.5
149,2009-04-28,Albury,4.8,7.6
150,2009-04-29,Albury,0,5.4
151,2009-04-30,Albury,0,2.1
152,2009-05-01,Albury,0,1.8
153,2009-05-02,Albury,0,7.2
154,2009-05-03,Albury,0,4.6
155,2009-05-04,Albury,0,4.2
156,2009-05-05,Albury,0,5.2
157,2009-05-06,Albury,0,4.1
158,2009-05-07,Albury,0,3.2
159,2009-05-08,Albury,0,4.3
160,2009-05-09,Albury,0,3.7
161,2009-05-10,Albury,0,5.4
162,2009-05-11,Albury,0,4.3
163,2009-05-12,Albury,0,3.6
164,2009-05-13,Albury,0,3.6
165,2009-05-14,Albury,0,6.9
166,2009-05-15,Albury,0,10.3
167,2009-05-16,Albury,1.8,12.4
168,2009-05-17,Albury,0,3
169,2009-05-18,Albury,0,2.6
170,2009-05-19,Albury,0,3.7
171,2009-05-20,Albury,0,5.1
172,2009-05-21,Albury,0,4.4
173,2009-05-22,Albury,0,4.7
174,2009-05-23,Albury,0,6.2
175,2009-05-24,Albury,0,6.7
176,2009-05-25,Albury,0,9.3
177,2009-05-26,Albury,4.2,11.6
178,2009-05-27,Albury,0.8,8
179,2009-05-28,Albury,0,2.6
180,2009-05-29,Albury,0,2.2
181,2009-05-30,Albury,0,2.2
182,2009-05-31,Albury,0,1.7
183,2009-06-01,Albury,1.2,8
184,2009-06-02,Albury,1.4,8.4
185,2009-06-03,Albury,4.8,10.6
186,2009-06-04,Albury,8,8.9
187,2009-06-05,Albury,0,2.8
188,2009-06-06,Albury,0.2,1.7
189,2009-06-07,Albury,14.4,4.7
190,2009-06-08,Albury,4.6,9
191,2009-06-09,Albury,2,6.3
192,2009-06-10,Albury,5.6,3
193,2009-06-11,Albury,0,-2
194,2009-06-12,Albury,0,-1.3
195,2009-06-13,Albury,0,1.8
196,2009-06-14,Albury,0,2
197,2009-06-15,Albury,0.4,0.5
198,2009-06-16,Albury,0,1.2
199,2009-06-17,Albury,0,0.6
200,2009-06-18,Albury,0,0.5
201,2009-06-19,Albury,0,0.5
202,2009-06-20,Albury,0,0.9
203,2009-06-21,Albury,1.6,7
204,2009-06-22,Albury,5.6,5
205,2009-06-23,Albury,0,3.9
206,2009-06-24,Albury,6,7.7
207,2009-06-25,Albury,0,4.7
208,2009-06-26,Albury,4.4,6.9
209,2009-06-27,Albury,0,8.4
210,2009-06-28,Albury,5.4,9.3
211,2009-06-29,Albury,3.6,8.2
212,2009-06-30,Albury,2,9.1
213,2009-07-01,Albury,8.4,8.3
214,2009-07-02,Albury,5,8.8
215,2009-07-03,Albury,7.8,7.6
216,2009-07-04,Albury,0,5.7
217,2009-07-05,Albury,0,3.4
218,2009-07-06,Albury,0,0
219,2009-07-07,Albury,0,-1.5
220,2009-07-08,Albury,0,-1.7
221,2009-07-09,Albury,0.2,-0.4
222,2009-07-10,Albury,0,0.1
223,2009-07-11,Albury,0.6,4.8
224,2009-07-12,Albury,0.6,8.1
225,2009-07-13,Albury,1,5.9
226,2009-07-14,Albury,6.8,6.9
227,2009-07-15,Albury,1.8,2.9
228,2009-07-16,Albury,0,-0.6
229,2009-07-17,Albury,0.2,-0.3
230,2009-07-18,Albury,0,-1
231,2009-07-19,Albury,0.6,3.2
232,2009-07-20,Albury,0.2,3.6
233,2009-07-21,Albury,0,0.8
234,2009-07-22,Albury,0,6.6
235,2009-07-23,Albury,9.8,6
236,2009-07-24,Albury,0,-0.1
237,2009-07-25,Albury,0,-0.3
238,2009-07-26,Albury,0,2.1
239,2009-07-27,Albury,0,1.3
240,2009-07-28,Albury,3.8,4.2
241,2009-07-29,Albury,2.4,8.3
242,2009-07-30,Albury,0.2,3.3
243,2009-07-31,Albury,5.2,6.5
244,2009-08-01,Albury,0.2,7.4
245,2009-08-02,Albury,0.8,7.5
246,2009-08-03,Albury,0.8,8.3
247,2009-08-04,Albury,0,3.2
248,2009-08-05,Albury,5.4,5.7
249,2009-08-06,Albury,0.4,5.1
250,2009-08-07,Albury,0.8,8
251,2009-08-08,Albury,4.2,-0.8
252,2009-08-09,Albury,0,-1
253,2009-08-10,Albury,0.2,1.9
254,2009-08-11,Albury,0.4,5.9
255,2009-08-12,Albury,4.8,6.9
256,2009-08-13,Albury,0.2,7.7
257,2009-08-14,Albury,1.2,6.8
258,2009-08-15,Albury,0.2,2.7
259,2009-08-16,Albury,1.6,5.1
260,2009-08-17,Albury,3.2,4.2
261,2009-08-18,Albury,0,0.6
262,2009-08-19,Albury,0,1.6
263,2009-08-20,Albury,0,5.5
264,2009-08-21,Albury,1,7.3
265,2009-08-22,Albury,6.6,0.2
266,2009-08-23,Albury,3.8,5.8
267,2009-08-24,Albury,1.2,8.9
268,2009-08-25,Albury,2,7.1
269,2009-08-26,Albury,3.6,4.2
270,2009-08-27,Albury,0.4,1.1
271,2009-08-28,Albury,0,1.1
272,2009-08-29,Albury,4.2,7.2
273,2009-08-30,Albury,13.4,6.3
274,2009-08-31,Albury,1.4,6.7
275,2009-09-01,Albury,3,5.1
276,2009-09-02,Albury,0,1
277,2009-09-03,Albury,0,6.1
278,2009-09-04,Albury,1.4,6.3
279,2009-09-05,Albury,0,2.1
280,2009-09-06,Albury,0,1.6
281,2009-09-07,Albury,0,8.3
282,2009-09-08,Albury,0,5.7
283,2009-09-09,Albury,0,7.5
284,2009-09-10,Albury,0,2.6
285,2009-09-11,Albury,NA,NA
286,2009-09-12,Albury,0,6.5
287,2009-09-13,Albury,0,13.2
288,2009-09-14,Albury,0,4.3
289,2009-09-15,Albury,0,1.6
290,2009-09-16,Albury,0,2.8
291,2009-09-17,Albury,0,6.3
292,2009-09-18,Albury,10.2,7.4
293,2009-09-19,Albury,0,5.4
294,2009-09-20,Albury,0.4,8
295,2009-09-21,Albury,0.2,3.7
296,2009-09-22,Albury,8.4,11.5
297,2009-09-23,Albury,28.8,9.3
298,2009-09-24,Albury,1.4,8.2
299,2009-09-25,Albury,0,5.3
300,2009-09-26,Albury,6,6.8
301,2009-09-27,Albury,1.6,4.5
302,2009-09-28,Albury,0,5.5
303,2009-09-29,Albury,0,1.7
304,2009-09-30,Albury,0,4
305,2009-10-01,Albury,0,8.9
306,2009-10-02,Albury,0,11.7
307,2009-10-03,Albury,3.2,8.5
308,2009-10-04,Albury,1.8,9.6
309,2009-10-05,Albury,0.2,8.3
310,2009-10-06,Albury,0,5.2
311,2009-10-07,Albury,3.6,3.8
312,2009-10-08,Albury,0,1.2
313,2009-10-09,Albury,0,3.2
314,2009-10-10,Albury,0,4.6
315,2009-10-11,Albury,0,6.4
316,2009-10-12,Albury,0,5.8
317,2009-10-13,Albury,2,6.6
318,2009-10-14,Albury,7,9.5
319,2009-10-15,Albury,1.4,9.7
320,2009-10-16,Albury,6.8,4.1
321,2009-10-17,Albury,0,4.6
322,2009-10-18,Albury,0,5.1
323,2009-10-19,Albury,0,5.1
324,2009-10-20,Albury,0,6.9
325,2009-10-21,Albury,0,8.8
326,2009-10-22,Albury,0,9.1
327,2009-10-23,Albury,0,8.1
328,2009-10-24,Albury,0,7.4
329,2009-10-25,Albury,0,10.6
330,2009-10-26,Albury,0,10.8
331,2009-10-27,Albury,0,5.9
332,2009-10-28,Albury,0,11.3
333,2009-10-29,Albury,0,14.5
334,2009-10-30,Albury,0,13.7
335,2009-10-31,Albury,0,15.6
336,2009-11-01,Albury,0,17.8
337,2009-11-02,Albury,0,18.7
338,2009-11-03,Albury,0,18.7
339,2009-11-04,Albury,0,10
340,2009-11-05,Albury,0,6.6
341,2009-11-06,Albury,0,10.8
342,2009-11-07,Albury,0,11.3
343,2009-11-08,Albury,0,13.5
344,2009-11-09,Albury,0,15.4
345,2009-11-10,Albury,0,15.9
346,2009-11-11,Albury,0,17.1
347,2009-11-12,Albury,0,16.7
348,2009-11-13,Albury,0,18.1
349,2009-11-14,Albury,0,13.4
350,2009-11-15,Albury,0,17.2
351,2009-11-16,Albury,0,15.3
352,2009-11-17,Albury,0,12.1
353,2009-11-18,Albury,0,11.4
354,2009-11-19,Albury,0,18.6
355,2009-11-20,Albury,0,15.3
356,2009-11-21,Albury,10.6,19.3
357,2009-11-22,Albury,25.8,18.3
358,2009-11-23,Albury,0.4,11.9
359,2009-11-24,Albury,0,12.8
360,2009-11-25,Albury,0,17.2
361,2009-11-26,Albury,0,21
362,2009-11-27,Albury,10.2,15.9
363,2009-11-28,Albury,0,17.1
364,2009-11-29,Albury,9.4,12.8
365,2009-11-30,Albury,2.4,13.2
366,2009-12-01,Albury,0,12.3
367,2009-12-02,Albury,0,10.6
368,2009-12-03,Albury,0,11.4
369,2009-12-04,Albury,0,12.3
370,2009-12-05,Albury,0,10.7
371,2009-12-06,Albury,0,11.1
372,2009-12-07,Albury,0,13.4
373,2009-12-08,Albury,0,18.2
374,2009-12-09,Albury,1.2,9.2
375,2009-12-10,Albury,0,14.2
376,2009-12-11,Albury,1,9.2
377,2009-12-12,Albury,0,9
378,2009-12-13,Albury,0,11.8
379,2009-12-14,Albury,0,13.6
380,2009-12-15,Albury,0,13.1
381,2009-12-16,Albury,0,14.6
382,2009-12-17,Albury,0,14.5
383,2009-12-18,Albury,3,12.2
384,2009-12-19,Albury,0,11.1
385,2009-12-20,Albury,0,12
386,2009-12-21,Albury,0,12.7
387,2009-12-22,Albury,0,15.1
388,2009-12-23,Albury,0,18.1
389,2009-12-24,Albury,0,22.9
390,2009-12-25,Albury,9.8,18.8
391,2009-12-26,Albury,0,17.1
392,2009-12-27,Albury,0,17.6
393,2009-12-28,Albury,0,17.8
394,2009-12-29,Albury,0,18.7
395,2009-12-30,Albury,0,19.8
396,2009-12-31,Albury,0,21.1
397,2010-01-01,Albury,5,19.4
398,2010-01-02,Albury,12.4,18.6
399,2010-01-03,Albury,0,12.2
400,2010-01-04,Albury,0,14.8
401,2010-01-05,Albury,0,15
402,2010-01-06,Albury,0,16.3
403,2010-01-07,Albury,0,15
404,2010-01-08,Albury,0,17.4
405,2010-01-09,Albury,0,19.6
406,2010-01-10,Albury,0,20.6
407,2010-01-11,Albury,0,21
408,2010-01-12,Albury,0.2,24.5
409,2010-01-13,Albury,0.4,22.6
410,2010-01-14,Albury,3,15.7
411,2010-01-15,Albury,0,17.2
412,2010-01-16,Albury,0,21.8
413,2010-01-17,Albury,0,16.8
414,2010-01-18,Albury,0,10.5
415,2010-01-19,Albury,0,8.7
416,2010-01-20,Albury,0,11
417,2010-01-21,Albury,0,15.4
418,2010-01-22,Albury,0,19.2
419,2010-01-23,Albury,0,24.7
420,2010-01-24,Albury,0,14.4
421,2010-01-25,Albury,0,14.3
422,2010-01-26,Albury,0,15.1
423,2010-01-27,Albury,0,17.7
424,2010-01-28,Albury,0,15.2
425,2010-01-29,Albury,0,16
426,2010-01-30,Albury,0,18.9
427,2010-01-31,Albury,0,21.7
428,2010-02-01,Albury,0,21
429,2010-02-02,Albury,8.6,17.8
430,2010-02-03,Albury,0,17.9
431,2010-02-04,Albury,0,23.5
432,2010-02-05,Albury,52.2,19.2
433,2010-02-06,Albury,5.6,19.5
434,2010-02-07,Albury,0,20.3
435,2010-02-08,Albury,0,23
436,2010-02-09,Albury,0,22.1
437,2010-02-10,Albury,NA,21.7
438,2010-02-11,Albury,0,21.5
439,2010-02-12,Albury,NA,22.5
440,2010-02-13,Albury,0,20.8
441,2010-02-14,Albury,0,20.5
442,2010-02-15,Albury,0,17.8
443,2010-02-16,Albury,0,17.6
444,2010-02-17,Albury,0,15.5
445,2010-02-18,Albury,NA,NA
446,2010-02-19,Albury,0,16.4
447,2010-02-20,Albury,0,15.7
448,2010-02-21,Albury,0.6,19.6
449,2010-02-22,Albury,3.6,20.2
450,2010-02-23,Albury,0.2,12.5
451,2010-02-24,Albury,0,12.8
452,2010-02-25,Albury,0,15
453,2010-02-26,Albury,0,17.2
454,2010-02-27,Albury,NA,NA
455,2010-02-28,Albury,1.4,18.2
456,2010-03-01,Albury,0,14.4
457,2010-03-02,Albury,NA,11.2
458,2010-03-03,Albury,0,12.5
459,2010-03-04,Albury,0,15.1
460,2010-03-05,Albury,0,NA
461,2010-03-06,Albury,20.6,18.8
462,2010-03-07,Albury,5.8,18.3
463,2010-03-08,Albury,66,18.1
464,2010-03-09,Albury,6.2,15.7
465,2010-03-10,Albury,0,8.8
466,2010-03-11,Albury,NA,12.3
467,2010-03-12,Albury,0,10.6
468,2010-03-13,Albury,0,11.5
469,2010-03-14,Albury,0,12.2
470,2010-03-15,Albury,0,13.2
471,2010-03-16,Albury,0,12.5
472,2010-03-17,Albury,0,13.3
473,2010-03-18,Albury,0,15.1
474,2010-03-19,Albury,0,14.9
475,2010-03-20,Albury,0,16.7
476,2010-03-21,Albury,0,16.8
477,2010-03-22,Albury,0,9.1
478,2010-03-23,Albury,0,8.3
479,2010-03-24,Albury,0,10.5
480,2010-03-25,Albury,0,11.6
481,2010-03-26,Albury,0,12.6
482,2010-03-27,Albury,0,15.6
483,2010-03-28,Albury,0,17.2
484,2010-03-29,Albury,11,18.2
485,2010-03-30,Albury,0.4,16.5
486,2010-03-31,Albury,0,13.4
487,2010-04-01,Albury,0,11.6
488,2010-04-02,Albury,0,10
489,2010-04-03,Albury,0,12.4
490,2010-04-04,Albury,0,12.5
491,2010-04-05,Albury,0,10.3
492,2010-04-06,Albury,0,10.6
493,2010-04-07,Albury,3,15.7
494,2010-04-08,Albury,3.2,13.5
495,2010-04-09,Albury,0,10.1
496,2010-04-10,Albury,0.2,14.1
497,2010-04-11,Albury,7,14.2
498,2010-04-12,Albury,0,5.6
499,2010-04-13,Albury,0,4.6
500,2010-04-14,Albury,0,5.1
501,2010-04-15,Albury,0,6.1
502,2010-04-16,Albury,0,7.7
503,2010-04-17,Albury,0,8.5
504,2010-04-18,Albury,0,10.1
505,2010-04-19,Albury,0,11.2
506,2010-04-20,Albury,0,11.8
507,2010-04-21,Albury,0,12.3
508,2010-04-22,Albury,0,11.4
509,2010-04-23,Albury,0,11.3
510,2010-04-24,Albury,3.6,15.4
511,2010-04-25,Albury,17,10.8
512,2010-04-26,Albury,0,5.1
513,2010-04-27,Albury,0,7.1
514,2010-04-28,Albury,1.6,9.7
515,2010-04-29,Albury,0.4,10.5
516,2010-04-30,Albury,0,5.6
517,2010-05-01,Albury,0.2,5.9
518,2010-05-02,Albury,0,4.8
519,2010-05-03,Albury,0,6.8
520,2010-05-04,Albury,0.2,8
521,2010-05-05,Albury,3,8.9
522,2010-05-06,Albury,0,7.1
523,2010-05-07,Albury,0,5.7
524,2010-05-08,Albury,0,9.6
525,2010-05-09,Albury,0,5.7
526,2010-05-10,Albury,0,5
527,2010-05-11,Albury,0,3
528,2010-05-12,Albury,0,1.3
529,2010-05-13,Albury,0,1
530,2010-05-14,Albury,0.2,3.1
531,2010-05-15,Albury,0,2.2
532,2010-05-16,Albury,0,1.7
533,2010-05-17,Albury,0,4.5
534,2010-05-18,Albury,0,1.6
535,2010-05-19,Albury,0,1.4
536,2010-05-20,Albury,0,2.1
537,2010-05-21,Albury,0,1.7
538,2010-05-22,Albury,0,1.1
539,2010-05-23,Albury,0,0.9
540,2010-05-24,Albury,0,5.2
541,2010-05-25,Albury,10.4,10.2
542,2010-05-26,Albury,13.4,8.4
543,2010-05-27,Albury,0.2,5.7
544,2010-05-28,Albury,0,6.4
545,2010-05-29,Albury,28,9.4
546,2010-05-30,Albury,5.8,8.8
547,2010-05-31,Albury,0,10.7
548,2010-06-01,Albury,0,4.2
549,2010-06-02,Albury,0,4.3
550,2010-06-03,Albury,0,3.4
551,2010-06-04,Albury,0,3.1
552,2010-06-05,Albury,0,1.7
553,2010-06-06,Albury,0,5
554,2010-06-07,Albury,0,0.4
555,2010-06-08,Albury,0,3.1
556,2010-06-09,Albury,0,5.3
557,2010-06-10,Albury,2.4,4.9
558,2010-06-11,Albury,0,7.2
559,2010-06-12,Albury,0,0
560,2010-06-13,Albury,0,-1
561,2010-06-14,Albury,0,-2
562,2010-06-15,Albury,0,-0.3
563,2010-06-16,Albury,0,1.5
564,2010-06-17,Albury,11.6,7.4
565,2010-06-18,Albury,2.2,3
566,2010-06-19,Albury,1.8,6.9
567,2010-06-20,Albury,0,3.6
568,2010-06-21,Albury,0.4,5
569,2010-06-22,Albury,0,3
570,2010-06-23,Albury,0,3.5
571,2010-06-24,Albury,0,3.4
572,2010-06-25,Albury,0,7
573,2010-06-26,Albury,10.2,6.2
574,2010-06-27,Albury,0.2,0.6
575,2010-06-28,Albury,0,-0.6
576,2010-06-29,Albury,0,2.3
577,2010-06-30,Albury,0.2,5.1
578,2010-07-01,Albury,1.2,3.2
579,2010-07-02,Albury,0.2,0.2
580,2010-07-03,Albury,0,1
581,2010-07-04,Albury,0,1.5
582,2010-07-05,Albury,0.2,1.8
583,2010-07-06,Albury,5.6,2.3
584,2010-07-07,Albury,0,1.5
585,2010-07-08,Albury,0.4,2.1
586,2010-07-09,Albury,0,0
587,2010-07-10,Albury,0,1.5
588,2010-07-11,Albury,13.4,5
589,2010-07-12,Albury,0.2,3.5
590,2010-07-13,Albury,0,3.5
591,2010-07-14,Albury,21.4,6.2
592,2010-07-15,Albury,11,3.4
593,2010-07-16,Albury,0,0.6
594,2010-07-17,Albury,0,-0.4
595,2010-07-18,Albury,0,0.7
596,2010-07-19,Albury,1.6,5
597,2010-07-20,Albury,0.2,0.5
598,2010-07-21,Albury,0,0.6
599,2010-07-22,Albury,0,-0.5
600,2010-07-23,Albury,0,0.1
601,2010-07-24,Albury,0,1
602,2010-07-25,Albury,0.2,2.5
603,2010-07-26,Albury,0.2,1.9
604,2010-07-27,Albury,0.2,-1.2
605,2010-07-28,Albury,0,2.1
606,2010-07-29,Albury,6.2,5.8
607,2010-07-30,Albury,0,8.9
608,2010-07-31,Albury,2.2,7.5
609,2010-08-01,Albury,4.2,7.5
610,2010-08-02,Albury,18.6,5.4
611,2010-08-03,Albury,0,1.2
612,2010-08-04,Albury,0,1.2
613,2010-08-05,Albury,NA,NA
614,2010-08-06,Albury,0.2,0.7
615,2010-08-07,Albury,0.2,-0.6
616,2010-08-08,Albury,0,-1.3
617,2010-08-09,Albury,0,0.3
618,2010-08-10,Albury,7.2,4.4
619,2010-08-11,Albury,8.2,7.2
620,2010-08-12,Albury,10.8,4.5
621,2010-08-13,Albury,0,1.6
622,2010-08-14,Albury,0,3.2
623,2010-08-15,Albury,1.8,7.2
624,2010-08-16,Albury,10.2,6.4
625,2010-08-17,Albury,3.8,-1
626,2010-08-18,Albury,0.2,1.3
627,2010-08-19,Albury,15.4,5
628,2010-08-20,Albury,2,4.5
629,2010-08-21,Albury,0,6.3
630,2010-08-22,Albury,0.2,2.1
631,2010-08-23,Albury,0.2,4.1
632,2010-08-24,Albury,1.8,6.4
633,2010-08-25,Albury,1.8,4.2
634,2010-08-26,Albury,9.6,5.4
635,2010-08-27,Albury,4,6.8
636,2010-08-28,Albury,0,0.9
637,2010-08-29,Albury,0,1.9
638,2010-08-30,Albury,0,2.3
639,2010-08-31,Albury,0,2.9
640,2010-09-01,Albury,0,7.1
641,2010-09-02,Albury,0.8,10
642,2010-09-03,Albury,0,7.1
643,2010-09-04,Albury,21.8,10.1
644,2010-09-05,Albury,20.8,9.8
645,2010-09-06,Albury,2.4,6.8
646,2010-09-07,Albury,1.2,2.3
647,2010-09-08,Albury,0,1.7
648,2010-09-09,Albury,0,7.2
649,2010-09-10,Albury,24.8,8.1
650,2010-09-11,Albury,3.2,2.6
651,2010-09-12,Albury,0,4.5
652,2010-09-13,Albury,0.4,6
653,2010-09-14,Albury,0,5.8
654,2010-09-15,Albury,0,5.5
655,2010-09-16,Albury,0,7.5
656,2010-09-17,Albury,0.2,4.3
657,2010-09-18,Albury,0,3.3
658,2010-09-19,Albury,0,2.4
659,2010-09-20,Albury,0,2.8
660,2010-09-21,Albury,0,5
661,2010-09-22,Albury,0,8.6
662,2010-09-23,Albury,0,5.7
663,2010-09-24,Albury,0,3.7
664,2010-09-25,Albury,0,5.6
665,2010-09-26,Albury,0,5.4
666,2010-09-27,Albury,0,6.5
667,2010-09-28,Albury,0,5.4
668,2010-09-29,Albury,0,3.7
669,2010-09-30,Albury,0,-0.1
670,2010-10-01,Albury,0,4.1
671,2010-10-02,Albury,0,4.8
672,2010-10-03,Albury,0,7.4
673,2010-10-04,Albury,0,8.2
674,2010-10-05,Albury,0,10.1
675,2010-10-06,Albury,0,11.1
676,2010-10-07,Albury,10,7.3
677,2010-10-08,Albury,0,4.2
678,2010-10-09,Albury,0,5.4
679,2010-10-10,Albury,0,8.2
680,2010-10-11,Albury,0,7.6
681,2010-10-12,Albury,0.8,14.5
682,2010-10-13,Albury,11.4,14.7
683,2010-10-14,Albury,19,12.7
684,2010-10-15,Albury,22.2,13.8
685,2010-10-16,Albury,32.8,4.8
686,2010-10-17,Albury,0,6.3
687,2010-10-18,Albury,0,9.2
688,2010-10-19,Albury,0,4.8
689,2010-10-20,Albury,0,5.7
690,2010-10-21,Albury,0,8
691,2010-10-22,Albury,0,9.5
692,2010-10-23,Albury,0.4,14.8
693,2010-10-24,Albury,2.4,8.2
694,2010-10-25,Albury,0,10.9
695,2010-10-26,Albury,0,8.8
696,2010-10-27,Albury,1.6,10.2
697,2010-10-28,Albury,0,8.8
698,2010-10-29,Albury,0,10.3
699,2010-10-30,Albury,3.4,16
700,2010-10-31,Albury,50.8,13.8
701,2010-11-01,Albury,1.2,10.2
702,2010-11-02,Albury,0,7.1
703,2010-11-03,Albury,0,10.7
704,2010-11-04,Albury,0,10.1
705,2010-11-05,Albury,0,11.1
706,2010-11-06,Albury,0,7.5
707,2010-11-07,Albury,0,9.3
708,2010-11-08,Albury,2.2,14.7
709,2010-11-09,Albury,0,11.6
710,2010-11-10,Albury,0,15.5
711,2010-11-11,Albury,0.6,15.2
712,2010-11-12,Albury,0,17.5
713,2010-11-13,Albury,0,21.1
714,2010-11-14,Albury,52.6,19.2
715,2010-11-15,Albury,2.4,15.9
716,2010-11-16,Albury,0,11.4
717,2010-11-17,Albury,0,8.8
718,2010-11-18,Albury,0,9.1
719,2010-11-19,Albury,0,12.1
720,2010-11-20,Albury,0,12
