uniquestr,method,company,measurements,id,trialn,col 
MoJsDpja,mk,TUW,0.376104787985863,127,32,-94
,em,HTC,0.046429353350156,128,99,-28
RTGPNtol,em,HTC,0.08815740979869,129,73,-55
jRlvUKFK,mk,CTS,0.323947743915742,130,29,-100
wNrQUIyU,zf,HTC,0.050256865199303,131,60,-70
wLDBswXF,em,TUW,0.755556666726458,132,15,-116
beAnSqYO,em,CTS,0.806759115331506,133,19,-113
axEFWTjr,zf,CTS,0.757959733437535,134,43,-90
gVlGaZqm,em,HTC,0.102211756554551,135,80,-54
zROPOBCB,em,CTS,0.168579377132912,136,52,-83
mADWswdb,mk,CTS,0.435909703045626,137,56,-80
djwJVobI,em,HTC,0.999346485039086,138,66,-71
GJVmCcis,ac,CTS,0.704764584301573,139,30,-108
fMOsWtpb,em,HTC,0.808453192345266,140,97,-42
WIndTUIg,ac,HTC,0.963380736740434,141,8,-132
OJAkuGxI,mk,HTC,0.694414745715662,142,36,-105
ewCEmVDZ,mk,TUW,0.672858278232458,143,21,-121
OujfRtZI,ac,TUW,0.638298807417545,144,95,-48
frfhRQez,zf,CTS,0.114095280292553,145,2,-142
,zf,TUW,0.470914304981749,146,27,-118
gpzwFbdg,ac,HTC,0.909170669457214,147,37,-109
nlPISnLf,mk,HTC,0.57102517025604,148,38,-109
HrEFGxBj,ac,TUW,0.632004068793091,149,97,-51
VjIxMwlY,ac,CTS,0.646128588681032,150,95,-54
sJhmDeqW,zf,HTC,0.660146405665269,151,11,-139
aNKMJWJP,mk,HTC,0.070916895503288,152,20,-131
fGqXcAhK,ac,HTC,0.513599866523725,153,56,-96
iMtFbyDy,ac,HTC,0.426811906539606,154,68,-85
yoVoKNDS,mk,TUW,0.112046843294273,155,59,-95
ZQaOztzx,mk,TUW,0.268677355641735,156,20,-135
VppdkWxS,em,TUW,0.255681824413775,157,97,-59
mAVKpCcL,em,CTS,0.708414886079834,158,76,-81
AfdOKjBc,em,HTC,0.849910044688078,159,73,-85
ScwIQVSt,mk,TUW,0.249697424228358,160,31,-128
zXOIRBQz,mk,CTS,0.86986411356378,161,34,-126
bCicDSdl,zf,CTS,0.161896647084376,162,86,-75
YIpLoNua,em,TUW,0.458039206135081,163,99,-63
,mk,TUW,0.438056417927695,164,17,-146
KDPeNsue,mk,CTS,0.407314692446598,165,23,-141
YnlRotYc,mk,CTS,0.525491877619833,166,85,-80
vIokPlHW,zf,CTS,0.596328950792077,167,22,-144
PzfDHVdP,ac,TUW,0.59438206187424,168,81,-86
JuncRkCv,em,HTC,0.583041276582397,169,21,-147
cLaMyoIz,mk,CTS,0.674122759499357,170,16,-153
YposXCmq,zf,TUW,0.517954400715071,171,81,-89
ikdzXqfu,em,CTS,0.971469718147107,172,35,-136
gkhJIDBf,mk,TUW,0.372516599698507,173,35,-137
mzEdTCTQ,ac,HTC,0.98266800279381,174,2,-171
,mk,CTS,0.852896963119682,175,38,-136
,ac,CTS,0.759262278116296,176,62,-113
CDzzCQce,em,CTS,0.146792601356673,177,71,-105
ivTBdSHo,ac,TUW,0.28556807508658,178,26,-151
aDgmexMG,ac,TUW,0.982431634124344,179,1,-177
CPeolrBm,em,TUW,0.181869741413086,180,47,-132
eSDHEXXk,ac,TUW,0.669841364029735,181,37,-143
BzRPhgWw,zf,CTS,0.924638030803113,182,19,-162
zACufSpt,em,TUW,0.607676424309775,183,11,-171
MqzVvkVg,mk,TUW,0.901338475664738,184,80,-103
gSIfVOfm,ac,TUW,0.123741939672124,185,13,-171
,mk,TUW,0.199274223903858,186,5,-180
unGkOjAi,ac,CTS,0.440447302723588,187,16,-170
rsMIbBBn,zf,HTC,0.5082781268223,188,55,-132
uNFBHgJi,ac,HTC,0.339030655660087,189,0,-188
JwNmpVjK,em,TUW,0.265454838757806,190,2,-187
HsebYNuS,em,TUW,0.843060016374425,191,58,-132
dUiXzJco,mk,HTC,0.579853002798841,192,18,-173
leTkUkxc,mk,TUW,0.934799295831262,193,85,-107
,mk,HTC,0.56402761168554,194,44,-149
twoxAEsw,em,CTS,0.002277874018693,195,38,-156
UKzAQruZ,em,TUW,0.719617315888054,196,76,-119
bbADQHfE,zf,TUW,0.288510956737101,197,29,-167
zpGBUVRU,ac,HTC,0.882682743147976,198,66,-131
cJNSDHDo,ac,HTC,0.67829717657684,199,37,-161
aLGqPpst,zf,TUW,0.804105395706595,200,17,-182
iqrhzkyK,em,TUW,0.140030862898086,201,96,-104
iZejOxVD,ac,CTS,0.290218882254631,202,65,-136
,mk,CTS,0.353350258582437,203,87,-115
skEKlxSR,em,TUW,0.781185096695794,204,91,-112
fmfnrktD,ac,TUW,0.161347792262946,205,67,-137
UqvVRxeA,zf,CTS,0.353349026373292,206,58,-147
qqZYZCOM,ac,CTS,0.402680622710352,207,29,-177
CnCisWyo,mk,CTS,0.690565871654779,208,52,-155
RhzKLJUy,zf,TUW,0.869774936865475,209,99,-109
deScwgPb,ac,CTS,0.014937399803874,210,10,-199
PlJRtdbw,zf,TUW,0.654571184343663,211,32,-178
gMMNFVVa,ac,CTS,0.603101804545758,212,10,-201
KiBkkQBI,ac,CTS,0.732832952347924,213,65,-147
soBJFtyy,ac,CTS,0.131360701913225,214,69,-144
FxRdkjAq,zf,CTS,0.377982435588641,215,38,-176
LcapKmrO,ac,CTS,0.30255587915103,216,72,-143
wZTusPxz,mk,TUW,0.453793032187356,217,39,-177
GblcCIfR,ac,TUW,0.340744745953472,218,47,-170
RfoidfbP,em,TUW,0.101760336129318,219,41,-177
nZCUtIiS,mk,HTC,0.519523557126322,220,34,-185
YVpRJphW,mk,TUW,0.857399154397513,221,7,-213
YZTdCJzP,zf,CTS,0.652213372586242,222,39,-182
SInqAjHx,mk,HTC,0.031065876852578,223,76,-146
PlURgvnk,zf,CTS,0.347322430824708,224,93,-130
,zf,CTS,0.451679646307334,225,34,-190
IyjKYYjh,em,TUW,0.226066983760918,226,36,-189
yQvzsdcT,zf,HTC,0.939107957307603,227,79,-147
mNHZmQku,em,TUW,0.351071398548476,228,23,-204
dDXSBjGm,em,TUW,0.76846741315338,229,54,-174
rOsXOvUG,ac,CTS,0.575507170473341,230,17,-212
NoAiMkLI,zf,CTS,0.340681574450344,231,5,-225
SqYwvwUF,em,HTC,0.024414269912004,232,18,-213
vFWbvqeA,zf,CTS,0.512731631529027,233,35,-197
yUQiXWii,mk,CTS,0.223758302641571,234,2,-231
zwEjByiT,mk,CTS,0.272074898405554,235,84,-150
XXjUzBne,zf,CTS,0.474658151590232,236,27,-208
YkxoPkAT,em,CTS,0.000762973156084,237,99,-137
bCUcthyt,zf,CTS,0.390908683802548,238,88,-149
rQnwNBUa,mk,CTS,0.21655594221285,239,77,-161
zLQkjNqx,zf,TUW,0.713539903457512,240,23,-216
jIjDnKYc,mk,TUW,0.47425490442953,241,56,-184
HmrQESlk,em,HTC,0.32755440691557,242,6,-235
bwfJUYOq,em,TUW,0.544004846527807,243,98,-144
IpmPNYJC,zf,HTC,0.086127769919863,244,79,-164
DHqFGyXL,mk,HTC,0.994810988476316,245,62,-182
xeCCiCzi,mk,CTS,0.735592641848005,246,52,-193
,mk,CTS,0.325511020877657,247,37,-209
WGNRdpKs,zf,HTC,0.247786763099741,248,45,-202
xUNLTeGY,ac,HTC,0.00794465807615,249,94,-154
mojUXkpa,ac,CTS,0.575046364752699,250,35,-214
dldWIWzH,zf,CTS,0.292615459558872,251,87,-163
cuYYZcQt,zf,HTC,0.903869750943509,252,43,-208
TyiAtKsJ,em,HTC,0.996881894464259,253,52,-200
dlmkmqhg,em,HTC,0.083117391149533,254,41,-212
,em,TUW,0.743064208434337,255,82,-172
xvDotQHk,em,CTS,0.583847050230547,256,87,-168
SROBUPgH,zf,TUW,0.414253433516633,257,39,-217
BUdUUKiW,em,CTS,0.582194897052669,258,62,-195
WjPabpbz,ac,TUW,0.010301811690818,259,11,-247
,ac,TUW,0.36438234370991,260,25,-234
YTmgBEwq,em,TUW,0.181453979559983,261,30,-230
EEJvpMmz,em,CTS,0.453499495945782,262,22,-239
fdjhXYQx,em,CTS,0.761875131312056,263,0,-262
viBtrDyi,zf,CTS,0.100735863232798,264,61,-202
qfKKbyET,mk,HTC,0.048224141411298,265,94,-170
DkLukgmW,em,TUW,0.570160708802094,266,9,-256
webiLuEO,mk,HTC,0.902601727978672,267,77,-189
HDHYUadO,ac,HTC,0.301447795204442,268,92,-175
KRCuNOpr,mk,TUW,0.227922396413,269,49,-219
qKfkzvYZ,ac,CTS,0.121646066113944,270,37,-232
,zf,HTC,0.843867167380791,271,55,-215
kzFrolte,ac,CTS,0.915266614343539,272,15,-256
brFqCWwo,em,TUW,0.344992003631551,273,60,-212
iOFBYvbF,ac,HTC,0.971241376765233,274,16,-257
brEMwmUS,ac,HTC,0.110995394785626,275,50,-224
dIpBUqDo,em,HTC,0.256547415897265,276,12,-263
shxBdhNB,zf,HTC,0.295025368760778,277,97,-179
FaeqcLIG,em,HTC,0.491210039861883,278,23,-254
LgEekxTE,zf,TUW,0.0426440929679,279,41,-237
dGJnwMBm,ac,CTS,0.994285929182523,280,20,-259
TLGBaNDY,ac,HTC,0.94677983599968,281,31,-249
UrKwmLvP,mk,HTC,0.809944291036447,282,1,-280
JTVeCZiB,zf,CTS,0.678754726612416,283,81,-201
wxoSmnhc,mk,HTC,0.226379238454175,284,97,-186
YEZzBORb,mk,TUW,0.277977701599622,285,72,-212
,zf,TUW,0.018673355170511,286,68,-217
reXfGNLJ,mk,CTS,0.106209386026912,287,25,-261
LoCWxXGb,em,TUW,0.499269709749669,288,84,-203
LJkAzLcu,mk,TUW,0.534602350953641,289,32,-256
BSdGaOgu,zf,CTS,0.060191190664256,290,91,-198
iqPppdfd,em,TUW,0.552940580058666,291,77,-213
QBVPEQpx,zf,CTS,0.348908409956399,292,19,-272
etTqrfzd,zf,HTC,0.751182723989288,293,25,-267
NRLsPVSk,ac,HTC,0.936610376912784,294,23,-270
iezelPtJ,mk,TUW,0.132395896084757,295,97,-197
lYVYfmBN,em,TUW,0.462234003493082,296,30,-265
fsnesyLr,zf,CTS,0.666679505197507,297,8,-288
,ac,HTC,0.756087910954459,298,4,-293
GEXRqBoD,ac,HTC,0.32941021559826,299,48,-250
bnXPIXTk,em,HTC,0.890239366288472,300,29,-270
BonkWMAc,em,TUW,0.996942270488144,301,17,-283
lkAdqcDF,mk,TUW,0.396979039483627,302,56,-245
UcHqilfX,ac,HTC,0.424160717839068,303,88,-214
sUXwebIR,zf,CTS,0.12652712484752,304,55,-248
zloHuoWJ,zf,CTS,0.096273392289591,305,88,-216
YViGNXZQ,zf,CTS,0.039625649824718,306,0,-305
LdNcBfgx,mk,CTS,0.164793288065041,307,65,-241
Mdqdvgti,ac,CTS,0.006673029639269,308,48,-259
CMujCfNF,em,HTC,0.744658433714826,309,35,-273
igtTdfTh,em,TUW,0.529291146725356,310,78,-231
gpBQBohb,mk,CTS,0.478360471652592,311,73,-237
,zf,CTS,0.899122771914957,312,63,-248
UoZHVfjq,ac,CTS,0.187514348258683,313,7,-305
CNkSgyrD,ac,TUW,0.878763645003051,314,91,-222
zoJfSvIp,zf,TUW,0.235185241694446,315,18,-296
CnrCAZrV,zf,TUW,0.51970149439388,316,36,-279
ZojbKNEY,zf,HTC,0.035538654820319,317,45,-271
fsiqmdLw,zf,CTS,0.084577445496035,318,22,-295
SuKwhoMv,ac,HTC,0.925159419046857,319,89,-229
AcVZrIrB,mk,TUW,0.336227749745522,320,56,-263
ZAzXVwIf,mk,CTS,0.329907945053173,321,77,-243
FnAaEHGM,em,CTS,0.169723789308309,322,36,-285
FvZhBKHg,zf,CTS,0.135207408818433,323,78,-244
HDeyFQTa,em,HTC,0.932614144327182,324,9,-314
,zf,CTS,0.257400078801835,325,52,-272
cmydQwFU,mk,HTC,0.556664597291875,326,77,-248
QaxVNktt,zf,TUW,0.866840305474524,327,83,-243
mAbdCZgW,ac,CTS,0.609257947894267,328,26,-301
lnMsEWIc,ac,HTC,0.690067523186326,329,12,-316
PTwxndGk,ac,HTC,0.182322951348697,330,1,-328
NGlafSZT,zf,HTC,0.518599528302281,331,36,-294
SMDtnHTV,mk,TUW,0.535243660892105,332,55,-276
sqXYuLvT,zf,TUW,0.529421311445134,333,2,-330
HhddelLb,zf,HTC,0.56215744848029,334,7,-326
EuRRHkMs,mk,CTS,0.419640098927346,335,46,-288
iAgyHbUW,zf,HTC,0.582148320988561,336,63,-272
PLCvuenH,em,HTC,0.1512748207273,337,34,-302
qDOiTwDn,zf,TUW,0.199689824929597,338,98,-239
ZKLAmQDr,ac,TUW,0.324152029739262,339,21,-317
rLOHSthn,mk,HTC,0.613226265287337,340,84,-255
lpjPrUDr,ac,CTS,0.010344346639785,341,98,-242
jXqBszMr,ac,TUW,0.224173026267714,342,44,-297
bbmjgsDk,mk,CTS,0.948785040414735,343,96,-246
,em,TUW,0.361492965374893,344,6,-337
eBOpsiXr,mk,CTS,0.703480065791966,345,69,-275
avokhMFd,mk,CTS,0.636998819281231,346,74,-271
sYtuQfkk,em,CTS,0.463314892908451,347,60,-286
jOsAhPUQ,mk,CTS,0.281682353742049,348,63,-284
hHgxxwNx,em,CTS,0.133463017818927,349,57,-291
QmMWpsvI,mk,TUW,0.42186340577338,350,45,-304
VDAAaORd,zf,TUW,0.613922043474663,351,94,-256
zcwKeZap,em,HTC,0.770399369894068,352,82,-269
madhbhUg,em,TUW,0.226620637331396,353,0,-352
IuvZgKZs,zf,TUW,0.871445199882764,354,49,-304
mtIJWjLW,mk,CTS,0.082696979411669,355,76,-278
aSJREeDp,em,HTC,0.127293552237478,356,97,-258
mDnCOXeH,zf,CTS,0.017191787293765,357,60,-296
xJrmyrxU,ac,HTC,0.980487887779598,358,31,-326
,em,TUW,0.252353502304997,359,93,-265
TVKhXfom,zf,HTC,0.710950200119326,360,10,-349
HTnWZpTk,mk,TUW,0.794524911699679,361,88,-272
DITPOWmW,zf,HTC,0.207372522946219,362,3,-358
rrZhtvQr,zf,TUW,0.854335782540807,363,74,-288
iUinueaH,ac,TUW,0.985852990558772,364,13,-350
UpHsuMTJ,zf,HTC,0.223796528728195,365,98,-266
ravbyFMg,mk,CTS,0.890915228409323,366,52,-313
caePHlWP,ac,HTC,0.536946485540723,367,9,-357
ghiqtRAx,zf,TUW,0.536359921914086,368,47,-320
NsYRjJRB,zf,CTS,0.913699045278706,369,44,-324
LRFwqCxc,zf,TUW,0.034460430983625,370,96,-273
,mk,TUW,0.691325793926197,371,84,-286
cfFBHvqk,ac,CTS,0.541373725511196,372,84,-287
rnZxHSVT,em,TUW,0.315460515472863,373,23,-349
oHifPWsR,em,HTC,0.868373455145566,374,24,-349
hvJDYJUg,em,TUW,0.728708175201647,375,12,-362
EFudJPZa,mk,CTS,0.530308948716356,376,86,-289
RdMXdhEL,zf,HTC,0.399999356839291,377,47,-329
GFFWWrTM,ac,CTS,0.943055431095573,378,83,-294
iPHOZKfW,ac,HTC,0.545490345417949,379,97,-281
EQptsLRN,ac,TUW,0.910986699635241,380,80,-299
jRxJKASa,em,CTS,0.437737554216148,381,97,-283
fckUuVux,zf,HTC,0.361016380970244,382,92,-289
CiLXcnxP,em,TUW,0.48147338238763,383,77,-305
ORHInuzO,ac,TUW,0.648751300455034,384,98,-285
nPsDbGQF,zf,CTS,0.990623590792683,385,28,-356
EUIYUErC,zf,HTC,0.786355137264299,386,30,-355
WaXPtofC,em,HTC,0.994460937005656,387,94,-292
sfHjkfJA,em,CTS,0.306470580503616,388,91,-296
orUFNeXu,mk,CTS,0.959691865004514,389,65,-323
JvRmanfV,ac,HTC,0.970923529533037,390,61,-328
,zf,CTS,0.340902232552939,391,24,-366
ClXjPDRN,zf,TUW,0.117999738907219,392,82,-309
UkBCupsh,zf,HTC,0.702657049412377,393,24,-368
TNgNWZqw,ac,TUW,0.035001094629917,394,75,-318
EeoTbTPt,mk,TUW,0.176856811717658,395,74,-320
aNtxqgKK,mk,TUW,0.634817822208218,396,58,-337
lDdDJPTv,ac,HTC,0.527280759469427,397,32,-364
TOpaPvZJ,mk,CTS,0.176877225542037,398,66,-331
KjnIcNMR,zf,TUW,0.754799526156851,399,88,-310
KLCwWXHo,em,TUW,0.695423523112352,400,82,-317
CVtzgEWY,mk,CTS,0.725631706598844,401,17,-383
RHAkQigi,em,HTC,0.0955723652883,402,96,-305
bQTEXsqH,ac,CTS,0.262642117175462,403,57,-345
zULxSuxa,em,CTS,0.643800835809507,404,28,-375
tkKYGqlt,zf,CTS,0.738210936108096,405,11,-393
uxavsDpZ,mk,CTS,0.543058382416168,406,36,-369
UFmJGExA,em,TUW,0.889726557420837,407,43,-363
NlpCuVRn,ac,TUW,0.739923943075568,408,80,-327
DkskVnkW,em,HTC,0.131217421948464,409,64,-344
ibwaHrUi,zf,HTC,0.03749865772333,410,60,-349
tYRfZjeD,em,HTC,0.657783530044895,411,61,-349
JapRQdtn,em,CTS,0.924106039979693,412,0,-411
NfUrjBJE,zf,TUW,0.242381678534686,413,69,-343
,em,HTC,0.308223589693555,414,5,-408
,em,TUW,0.490035895221952,415,65,-349
sYGZLTLz,em,HTC,0.489217275642848,416,90,-325
SPvuJLKM,ac,CTS,0.606154524584706,417,55,-361
gEqPtRsO,mk,TUW,0.288979304342595,418,9,-408
EFCptdTj,mk,HTC,0.245214855292128,419,34,-384
wdFUmPlW,zf,HTC,0.45010371057345,420,93,-326
IaDGCUIY,zf,HTC,0.700110710226506,421,69,-351
meUqUqyf,ac,HTC,0.007921151712225,422,32,-389
aIQxVlQu,mk,CTS,0.543101802799066,423,88,-334
kmjcdokZ,ac,TUW,0.118892283769168,424,72,-351
qqqLEePD,em,CTS,0.609940408110829,425,49,-375
usaOujTa,em,CTS,0.565154467144656,426,5,-420
aZaCgNrG,em,HTC,0.717489666922677,427,40,-386
ZQUOnRpZ,em,HTC,0.649383120106558,428,84,-343
muvoWLLT,mk,CTS,0.586746331365471,429,97,-331
qphwKOPo,zf,CTS,0.399967543286142,430,96,-333
gEOpEYHS,mk,TUW,0.260414625398626,431,82,-348
kPUjlnRp,ac,CTS,0.907663024136739,432,52,-379
,zf,TUW,0.482770281470368,433,60,-372
fcmhBwTi,zf,TUW,0.570824338087197,434,89,-344
kePnAmtO,ac,HTC,0.535616215401011,435,63,-371
ndgsdkzR,zf,HTC,0.376379947033599,436,40,-395
AlwfrPtg,em,TUW,0.418133744223463,437,37,-399
GkiaHwqV,ac,TUW,0.705036099052134,438,18,-419
bAPBJMWf,zf,HTC,0.015677624362327,439,61,-377
VHWIzyeQ,mk,CTS,0.909420600692977,440,72,-367
HSGqRSsd,zf,HTC,0.868981172956263,441,71,-369
uOGajTrn,ac,TUW,0.161007624893223,442,54,-387
kpqaAEGe,em,CTS,0.712038191826438,443,54,-388
YjPsLybV,em,TUW,0.4859546596688,444,77,-366
xnKbZnop,ac,TUW,0.031385756233341,445,72,-372
,ac,CTS,0.475551067710508,446,59,-386
OclpuzkS,em,CTS,0.937908838288696,447,45,-401
SbaYJKhn,ac,CTS,0.421194569052924,448,54,-393
IyoTsolg,em,TUW,0.99445287659702,449,16,-432
dSfMEHtm,zf,HTC,0.626593707317629,450,0,-449
bZaoBxWO,mk,HTC,0.432184796058948,451,52,-398
,em,HTC,0.358071548334971,452,18,-433
fIeVreTi,ac,CTS,0.774326033132205,453,20,-432
wHtfntGX,ac,HTC,0.592602142938039,454,52,-401
IQhGtqDd,mk,HTC,0.348101158382015,455,13,-441
loXOMEFx,zf,CTS,0.62951078012353,456,33,-422
,ac,TUW,0.523910999152439,457,27,-429
fFbbNqCU,zf,TUW,0.500593544382672,458,2,-455
rzCCwtuw,zf,TUW,0.987374936963339,459,37,-421
ZLxvEtjI,zf,CTS,0.080497837601215,460,69,-390
,ac,HTC,0.580335259495335,461,61,-399
gFhyTWSk,zf,CTS,0.269445913328385,462,90,-371
jifZkqGM,mk,CTS,0.187576653282987,463,76,-386
UbkCyjww,em,CTS,0.211857751184416,464,91,-372
RQJBtgVz,zf,CTS,0.293608487035389,465,38,-426
TUpTbXAn,em,HTC,0.27604228695896,466,15,-450
CjDRQJqQ,mk,CTS,0.669291261882434,467,78,-388
nIrDjSMe,mk,HTC,0.010045464072276,468,4,-463
EyHiaayD,zf,HTC,0.531105605746474,469,0,-468
UrWzZzst,ac,HTC,0.212890466209218,470,1,-468
ZcOMqfSL,ac,TUW,0.614249094429797,471,26,-444
pqFomauC,mk,HTC,0.16675751463392,472,11,-460
