nouniquestr,method,company,measurements,trialn
KFFJU,ac,CTS,0.668538726163304,32
UXWCP,em,HTC,0.383010222898775,25
BkTbV,mk,HTC,0.453729489675607,13
IfUdF,zf,CTS,0.186332772953447,95
ZuRoI,mk,CTS,0.080086685231082,44
eRuYh,em,TUW,0.702463862556861,53
aKTdT,zf,CTS,0.939388405695241,64
NTUkO,zf,TUW,0.159535487091622,18
KtCpK,em,CTS,0.169449583206482,42
PhTYU,ac,TUW,0.575595817298245,54
KFFJU,zf,HTC,0.474563741166128,87
UXWCP,ac,CTS,0.742358431511311,45
BkTbV,ac,CTS,0.773862378351255,86
IfUdF,em,HTC,0.142791243164825,8
ZuRoI,zf,CTS,0.779344418795611,56
eRuYh,ac,HTC,0.295349961814363,50
aKTdT,ac,HTC,0.775703505464739,99
NTUkO,mk,HTC,0.012728138192096,25
KtCpK,zf,HTC,0.034386891379052,82
PhTYU,zf,CTS,0.264346684695723,8
KFFJU,mk,CTS,0.025506442806026,36
UXWCP,zf,CTS,0.481216791971535,88
BkTbV,em,CTS,0.00243605065281,23
IfUdF,zf,HTC,0.877024864137067,19
ZuRoI,zf,TUW,0.774097756626427,61
eRuYh,zf,TUW,0.702749011779619,51
aKTdT,zf,CTS,0.978696737906835,82
NTUkO,zf,HTC,0.837303039800141,19
KtCpK,ac,TUW,0.513968490022449,12
PhTYU,ac,TUW,0.278212411076672,14
KFFJU,em,TUW,0.618675255276618,79
UXWCP,zf,CTS,0.622385242280853,71
BkTbV,ac,HTC,0.480987759510027,20
IfUdF,em,CTS,0.118342575620296,96
ZuRoI,zf,CTS,0.356577316087659,97
eRuYh,em,CTS,0.299350457520231,32
aKTdT,ac,HTC,0.216460561661961,84
NTUkO,em,HTC,0.625911314428576,52
KtCpK,ac,CTS,0.987616643992584,45
PhTYU,em,CTS,0.847714447174087,11
KFFJU,em,TUW,0.087215781435141,16
UXWCP,em,TUW,0.563639652898598,94
BkTbV,zf,CTS,0.79418243192419,76
IfUdF,em,TUW,0.158854015945028,95
ZuRoI,ac,HTC,0.918500686254801,62
eRuYh,zf,TUW,0.450284456470284,64
aKTdT,mk,TUW,0.242963787786725,55
NTUkO,mk,TUW,0.179661175792443,57
KtCpK,zf,CTS,0.490742296089406,84
PhTYU,zf,HTC,0.556755182042363,78
KFFJU,em,CTS,0.951469162051476,54
UXWCP,ac,CTS,0.236809465783979,13
BkTbV,mk,TUW,0.806696107061542,40
IfUdF,ac,TUW,0.210865767674038,24
ZuRoI,zf,CTS,0.266986841573048,77
eRuYh,em,CTS,0.225174241052322,97
aKTdT,ac,HTC,0.845765938766668,37
NTUkO,mk,HTC,0.18530296878154,88
KtCpK,zf,HTC,0.179132183936469,41
PhTYU,ac,TUW,0.031362147324867,74
KFFJU,ac,CTS,0.954183398388416,58
UXWCP,zf,HTC,0.862289024031678,46
BkTbV,zf,TUW,0.844661654190849,22
IfUdF,em,HTC,0.137717293815727,32
ZuRoI,em,TUW,0.500903981377826,99
eRuYh,em,HTC,0.348550754818289,35
aKTdT,mk,TUW,0.803112247986938,14
NTUkO,zf,CTS,0.358786686027643,63
KtCpK,mk,TUW,0.397246778878091,70
PhTYU,zf,HTC,0.546135936278358,42
KFFJU,em,TUW,0.367151268056458,59
UXWCP,zf,CTS,0.377867586799618,48
BkTbV,mk,HTC,0.016075872013843,2
IfUdF,ac,CTS,0.195682473226263,50
ZuRoI,ac,CTS,0.683981697066014,98
eRuYh,ac,HTC,0.146961474622894,36
aKTdT,em,HTC,0.948943753905551,15
NTUkO,ac,HTC,0.880382407209247,49
KtCpK,ac,CTS,0.246109920408946,90
PhTYU,mk,TUW,0.972501182167701,36
KFFJU,zf,TUW,0.622426784537798,59
UXWCP,em,TUW,0.15292285048038,70
BkTbV,em,HTC,0.989817044264727,95
IfUdF,em,CTS,0.678477342924023,24
ZuRoI,ac,TUW,0.513528781290049,9
eRuYh,zf,TUW,0.873415153085544,20
aKTdT,mk,CTS,0.136420605735785,7
NTUkO,em,CTS,0.675517935972503,94
KtCpK,em,CTS,0.323969133417689,86
PhTYU,mk,TUW,0.204543692936281,48
KFFJU,mk,HTC,0.853191690350936,32
UXWCP,em,TUW,0.710504889599099,71
BkTbV,mk,CTS,0.613883833876884,0
IfUdF,ac,CTS,0.377412343479761,61
ZuRoI,em,CTS,0.969931241118106,80
eRuYh,em,CTS,0.549123612522221,44
aKTdT,em,TUW,0.22196757531371,99
NTUkO,zf,TUW,0.210422851670434,78
KtCpK,em,CTS,0.278079380711434,59
PhTYU,em,CTS,0.021009691870604,51
KFFJU,mk,TUW,0.598566127531135,31
UXWCP,mk,HTC,0.900449767517428,31
BkTbV,ac,HTC,0.312034056717728,31
IfUdF,zf,CTS,0.895008673690344,58
ZuRoI,mk,TUW,0.995157008710545,53
eRuYh,ac,TUW,0.565732068409784,14
aKTdT,zf,HTC,0.765557581309512,47
NTUkO,mk,TUW,0.068762446202196,32
KtCpK,zf,CTS,0.765924612344277,19
PhTYU,ac,TUW,0.933228796624826,58
KFFJU,mk,HTC,0.119232422105847,33
UXWCP,ac,CTS,0.100444730324395,71
BkTbV,zf,HTC,0.318698388473698,94
IfUdF,mk,CTS,0.415277332261237,66
ZuRoI,ac,TUW,0.302173277866504,2
eRuYh,ac,HTC,0.621559658413485,77
aKTdT,em,HTC,0.500785667768898,55
NTUkO,zf,TUW,0.810971696493499,73
KtCpK,em,CTS,0.663710305719351,68
PhTYU,zf,TUW,0.347385461677682,82
KFFJU,zf,HTC,0.533429620079906,73
UXWCP,ac,HTC,0.277786378921727,64
BkTbV,mk,HTC,0.796276535935512,40
IfUdF,zf,HTC,0.157997677416955,48
ZuRoI,ac,CTS,0.37858728722356,6
eRuYh,em,HTC,0.427090394718926,13
aKTdT,em,HTC,0.541385472283675,10
NTUkO,mk,CTS,0.72404732502661,22
KtCpK,em,TUW,0.511958881170811,14
PhTYU,mk,TUW,0.624261079916668,38
KFFJU,em,TUW,0.883488897091693,96
UXWCP,ac,CTS,0.724173726414935,44
BkTbV,em,TUW,0.847217633300505,52
IfUdF,mk,HTC,0.813354462966511,9
ZuRoI,zf,CTS,0.862391689454803,90
eRuYh,zf,CTS,0.992752368631832,96
aKTdT,mk,HTC,0.307873712168591,53
NTUkO,zf,CTS,0.133641764719269,81
KtCpK,mk,HTC,0.334485165196526,49
PhTYU,zf,CTS,0.664626451252371,63
KFFJU,mk,CTS,0.396537070392055,17
UXWCP,em,CTS,0.700376833752913,48
BkTbV,mk,HTC,0.70747144391733,30
IfUdF,ac,TUW,0.24244505819414,70
ZuRoI,ac,CTS,0.804343929082837,38
eRuYh,ac,TUW,0.84058871786801,84
aKTdT,em,CTS,0.897709154302591,83
NTUkO,zf,TUW,0.609119281278935,83
KtCpK,mk,CTS,0.818489160210693,96
PhTYU,zf,HTC,0.595517830865006,73
KFFJU,zf,HTC,0.457119573644272,2
UXWCP,ac,TUW,0.828360372995102,3
BkTbV,ac,TUW,0.749489083345874,63
IfUdF,ac,TUW,0.809931324153563,21
ZuRoI,em,CTS,0.919730687778832,60
eRuYh,ac,HTC,0.246666406363691,80
aKTdT,em,TUW,0.242231000437396,22
NTUkO,mk,TUW,0.138117433782111,58
KtCpK,em,CTS,0.449500639562317,2
PhTYU,em,CTS,0.618601131623624,45
KFFJU,mk,TUW,0.720395745424973,15
UXWCP,zf,TUW,0.215999278260064,39
BkTbV,zf,HTC,0.44463405943988,77
IfUdF,ac,TUW,0.737347720151665,28
ZuRoI,em,TUW,0.605709311141367,60
eRuYh,ac,TUW,0.347387845514157,35
aKTdT,ac,TUW,0.44456034586926,13
NTUkO,zf,CTS,0.260381730195193,95
KtCpK,zf,TUW,0.458741168422815,86
PhTYU,em,HTC,0.24314605534767,26
KFFJU,em,TUW,0.553784328888253,39
UXWCP,em,HTC,0.978805365188789,94
BkTbV,ac,TUW,0.702402686155952,81
IfUdF,mk,CTS,0.116066981532748,82
ZuRoI,mk,TUW,0.885924538154508,11
eRuYh,zf,CTS,0.666249529096297,33
aKTdT,mk,HTC,0.975820928512194,6
NTUkO,em,TUW,0.473681316286383,29
KtCpK,zf,CTS,0.785195154961823,72
PhTYU,zf,TUW,0.787625486756302,62
KFFJU,em,TUW,0.702838219085716,6
UXWCP,zf,TUW,0.995595632024128,69
BkTbV,ac,TUW,0.421321154701763,79
IfUdF,mk,HTC,0.251316552389161,67
ZuRoI,zf,HTC,0.2529420441174,84
eRuYh,zf,TUW,0.393932096944075,96
aKTdT,mk,CTS,0.350008870886645,40
NTUkO,zf,CTS,0.517979736062491,54
KtCpK,zf,CTS,0.179326979682422,97
PhTYU,em,TUW,0.047993066295969,6
KFFJU,ac,TUW,0.716764730827618,13
UXWCP,em,HTC,0.956477235324955,78
BkTbV,ac,CTS,0.834120229193022,2
IfUdF,ac,TUW,0.604137404319842,54
ZuRoI,em,HTC,0.734918738888196,49
eRuYh,ac,HTC,0.418314702601446,11
aKTdT,em,HTC,0.0092672354081,56
NTUkO,mk,HTC,0.960686377389003,42
KtCpK,mk,CTS,0.503804170549134,42
PhTYU,mk,CTS,0.045348764624626,49
KFFJU,em,CTS,0.58565339187273,59
UXWCP,zf,CTS,0.691554846696831,56
BkTbV,mk,HTC,0.078800207930174,88
IfUdF,zf,HTC,0.563201913896925,84
ZuRoI,em,CTS,0.62239762345308,77
eRuYh,ac,HTC,0.472847588600975,5
aKTdT,em,HTC,0.967327696322318,81
NTUkO,em,TUW,0.572845449542269,76
KtCpK,em,CTS,0.122014511461518,10
PhTYU,zf,HTC,0.512153387493553,56
KFFJU,mk,CTS,0.467719071964796,14
UXWCP,mk,TUW,0.870569068833195,24
BkTbV,ac,CTS,0.29859621604284,63
IfUdF,ac,TUW,0.557041184306665,6
ZuRoI,ac,HTC,0.227055095127823,40
eRuYh,zf,TUW,0.575396048679271,89
aKTdT,mk,CTS,0.549571204823391,81
NTUkO,mk,TUW,0.895301312327709,47
KtCpK,mk,HTC,0.230540680125438,47
PhTYU,zf,HTC,0.062525764178132,43
KFFJU,mk,CTS,0.425928167067263,34
UXWCP,ac,TUW,0.199358776133143,88
BkTbV,em,TUW,0.07276102447153,32
IfUdF,zf,CTS,0.663380879284888,45
ZuRoI,em,HTC,0.557667030895533,30
eRuYh,zf,CTS,0.424822693096201,67
aKTdT,ac,TUW,0.84795834475226,62
NTUkO,zf,CTS,0.334004253325829,13
KtCpK,ac,TUW,0.289992226881243,61
PhTYU,em,TUW,0.753700119397542,8
KFFJU,zf,TUW,0.357130821528107,44
UXWCP,ac,TUW,0.514088604372869,1
BkTbV,mk,HTC,0.605838767179039,38
IfUdF,mk,HTC,0.445867270849705,8
ZuRoI,zf,CTS,0.556772671526124,7
eRuYh,zf,CTS,0.729547059988714,38
aKTdT,zf,TUW,0.814010243945265,61
NTUkO,ac,HTC,0.030485374110251,93
KtCpK,zf,CTS,0.608301095668302,82
PhTYU,mk,HTC,0.756629362718383,32
KFFJU,em,CTS,0.009424056165435,67
UXWCP,ac,CTS,0.304277970891379,77
BkTbV,em,TUW,0.455487851531026,60
IfUdF,ac,TUW,0.039377698267634,6
ZuRoI,mk,TUW,0.696184207017328,83
eRuYh,mk,CTS,0.120280291116001,93
aKTdT,mk,CTS,0.902074962932708,27
NTUkO,zf,HTC,0.116169624205664,86
KtCpK,mk,CTS,0.372324812458399,60
PhTYU,ac,HTC,0.898477545528442,61
KFFJU,ac,HTC,0.880957265463889,19
UXWCP,ac,TUW,0.925589882287921,41
BkTbV,ac,TUW,0.912827159351495,70
IfUdF,mk,TUW,0.375939927360118,54
ZuRoI,zf,CTS,0.137407615058474,90
eRuYh,ac,CTS,0.633196411754245,15
aKTdT,em,HTC,0.577266832331383,28
NTUkO,mk,HTC,0.810758805909256,57
KtCpK,em,TUW,0.670331322320432,85
PhTYU,ac,TUW,0.210672940639001,89
KFFJU,zf,HTC,0.188999281591238,68
UXWCP,zf,TUW,0.5942950410231,76
BkTbV,em,CTS,0.253928972230885,23
IfUdF,em,TUW,0.80450480699482,26
ZuRoI,em,CTS,0.783966902045029,27
eRuYh,ac,CTS,0.068638804158277,35
aKTdT,mk,TUW,0.319740332014079,52
NTUkO,mk,CTS,0.070138827868323,35
KtCpK,mk,CTS,0.529551556158602,60
PhTYU,mk,HTC,0.201728706224458,24
KFFJU,mk,CTS,0.493429216806841,36
UXWCP,ac,CTS,0.05514609192272,31
BkTbV,ac,HTC,0.16823796048755,83
IfUdF,mk,TUW,0.008309874687226,50
ZuRoI,em,CTS,0.711291012541952,37
eRuYh,em,CTS,0.292848260381152,21
aKTdT,ac,TUW,0.403835720307964,86
NTUkO,mk,TUW,0.100525287382814,93
KtCpK,ac,TUW,0.649305667966981,99
PhTYU,mk,CTS,0.683172091866976,3
KFFJU,zf,CTS,0.757572951470384,87
UXWCP,ac,TUW,0.658231633599551,15
BkTbV,mk,TUW,0.574212829866115,45
IfUdF,mk,TUW,0.46898816301178,54
ZuRoI,em,TUW,0.626479045148207,65
eRuYh,em,TUW,0.022811753262706,80
aKTdT,mk,HTC,0.327071578190444,9
NTUkO,em,CTS,0.430726303820605,2
KtCpK,em,CTS,0.558611090702808,48
PhTYU,em,HTC,0.944475079550223,54
KFFJU,mk,CTS,0.77334931660451,21
UXWCP,mk,CTS,0.695452564648028,11
BkTbV,zf,CTS,0.798741098984815,51
IfUdF,ac,CTS,0.758838892836825,54
ZuRoI,mk,TUW,0.845668659474199,78
eRuYh,ac,HTC,0.937468054235097,35
aKTdT,em,TUW,0.023722785471347,26
NTUkO,mk,TUW,0.458731306849991,64
KtCpK,zf,TUW,0.428755238707887,24
PhTYU,zf,HTC,0.747640124954997,34
KFFJU,mk,CTS,0.961019104179157,7
UXWCP,ac,HTC,0.140795837287049,51
BkTbV,zf,TUW,0.460167627728082,42
IfUdF,zf,HTC,0.730257929941174,23
ZuRoI,ac,CTS,0.774517910560207,42
eRuYh,em,HTC,0.112118733792476,38
aKTdT,ac,HTC,0.010676455091366,26
NTUkO,zf,TUW,0.29195928479415,71
KtCpK,zf,HTC,0.953329551821042,75
PhTYU,ac,HTC,0.592932640169824,63
KFFJU,em,CTS,0.425296131881436,65
UXWCP,zf,CTS,0.595616905765899,74
BkTbV,zf,HTC,0.330863113477226,40
IfUdF,ac,TUW,0.8877547972538,22
ZuRoI,em,TUW,0.584574465329798,42
eRuYh,em,TUW,0.180280258446367,51
aKTdT,ac,TUW,0.584703845999936,77
NTUkO,ac,CTS,0.874812390936818,54
KtCpK,ac,HTC,0.719603223680605,4
PhTYU,em,TUW,0.45524514878676,39
KFFJU,em,TUW,0.625608459354356,96
UXWCP,ac,CTS,0.371584178878111,64
BkTbV,zf,CTS,0.412035784309046,56
IfUdF,mk,HTC,0.829609887335547,77
ZuRoI,zf,TUW,0.267670606186476,96
eRuYh,ac,TUW,0.991764384403882,84
aKTdT,zf,HTC,0.288287936228539,12
NTUkO,mk,TUW,0.928208139647758,97
KtCpK,mk,TUW,0.054315361619617,28
PhTYU,ac,TUW,0.806052143629116,71
KFFJU,zf,HTC,0.408000896108934,26
UXWCP,mk,HTC,0.982584033317675,47
BkTbV,zf,CTS,0.231750593523524,67
IfUdF,zf,HTC,0.134830792184242,88
ZuRoI,mk,HTC,0.684499917832169,48
eRuYh,em,HTC,0.349259196421336,54
aKTdT,mk,CTS,0.387825453766676,85
NTUkO,mk,CTS,0.744208458372417,52
KtCpK,zf,HTC,0.858934275004983,1
PhTYU,mk,TUW,0.144110369792322,76
KFFJU,mk,CTS,0.766710361495774,37
UXWCP,em,HTC,0.404659321034672,28
BkTbV,em,TUW,0.409804460774599,8
IfUdF,em,CTS,0.844012292766643,79
ZuRoI,em,CTS,0.235862313923992,8
eRuYh,zf,CTS,0.130978568057068,18
aKTdT,zf,HTC,0.030603701779876,35
NTUkO,em,CTS,0.754448648153786,94
KtCpK,mk,CTS,0.110028174866972,46
PhTYU,mk,TUW,0.453559587151391,41
KFFJU,zf,TUW,0.890089982207694,89
UXWCP,ac,HTC,0.891862227998452,26
BkTbV,mk,HTC,0.540467382397312,78
IfUdF,zf,CTS,0.705149769749145,18
ZuRoI,zf,HTC,0.483515585388048,46
eRuYh,em,CTS,0.724782938083006,93
aKTdT,ac,TUW,0.814049853266078,9
NTUkO,mk,TUW,0.311753146724971,86
KtCpK,mk,CTS,0.08642612793306,5
PhTYU,em,TUW,0.08298764778357,40
KFFJU,zf,TUW,0.325081302762962,7
UXWCP,em,TUW,0.905701097666056,68
BkTbV,mk,HTC,0.781448277954211,45
IfUdF,ac,TUW,0.089917342854828,42
ZuRoI,zf,HTC,0.454161423432483,75
eRuYh,em,CTS,0.352758096946175,4
aKTdT,mk,HTC,0.505775100598672,68
NTUkO,em,HTC,0.080194583163367,41
KtCpK,zf,CTS,0.926149318025828,13
PhTYU,ac,HTC,0.247891596382737,52
KFFJU,em,CTS,0.703444891916888,96
UXWCP,em,TUW,0.060226594118455,48
BkTbV,ac,HTC,0.674620317784749,19
IfUdF,em,CTS,0.362891872427663,62
ZuRoI,em,CTS,0.087607832600528,83
eRuYh,ac,CTS,0.695287623370902,45
aKTdT,zf,HTC,0.032221279703292,37
NTUkO,zf,TUW,0.177477099751972,97
KtCpK,ac,TUW,0.447747254664293,57
PhTYU,mk,HTC,0.502308873394591,57
KFFJU,em,HTC,0.3485151539339,59
UXWCP,em,TUW,0.13563173874576,53
BkTbV,mk,HTC,0.668070133496588,70
IfUdF,zf,CTS,0.443590400774833,59
ZuRoI,mk,CTS,0.101863334433399,54
eRuYh,em,TUW,0.902604503396733,60
aKTdT,zf,CTS,0.320359529868565,1
NTUkO,em,TUW,0.673820329349288,42
KtCpK,mk,TUW,0.653727758723083,62
PhTYU,zf,HTC,0.024358900251734,44
KFFJU,em,CTS,0.790059818899642,49
UXWCP,mk,TUW,0.9726563636797,12
BkTbV,mk,HTC,0.410793255511722,81
IfUdF,mk,CTS,0.387163859322682,69
ZuRoI,zf,CTS,0.012109409205175,3
eRuYh,ac,CTS,0.086159879400411,26
aKTdT,em,TUW,0.221367570660956,69
NTUkO,em,TUW,0.218183347950906,58
KtCpK,em,TUW,0.704807673605316,3
PhTYU,ac,CTS,0.774032272732535,94
KFFJU,em,CTS,0.559277649179095,14
UXWCP,mk,CTS,0.241062646825899,73
BkTbV,ac,TUW,0.216340205130328,24
IfUdF,em,CTS,0.325837216630052,59
ZuRoI,mk,TUW,0.977621589190916,64
eRuYh,mk,HTC,0.601767599359651,2
aKTdT,ac,HTC,0.242555424510123,97
NTUkO,em,HTC,0.326668913591721,38
KtCpK,zf,CTS,0.214984858132408,40
PhTYU,zf,TUW,0.265019231383726,36
KFFJU,zf,HTC,0.817512707266145,15
UXWCP,ac,TUW,0.475730331848301,75
BkTbV,zf,HTC,0.105515938548746,96
IfUdF,mk,TUW,0.59727396925871,94
ZuRoI,ac,CTS,0.748105836432223,90
eRuYh,ac,HTC,0.1661549718298,26
aKTdT,ac,CTS,0.463750052447806,88
NTUkO,ac,HTC,0.023088578242646,22
KtCpK,ac,TUW,0.312717514137544,11
PhTYU,em,TUW,0.20344395743083,35
KFFJU,em,CTS,0.875410101836104,40
UXWCP,em,HTC,0.755914709987844,90
BkTbV,em,CTS,0.948373307920833,83
IfUdF,zf,HTC,0.345852031509588,41
ZuRoI,mk,CTS,0.964555940326481,13
eRuYh,ac,HTC,0.760443406824004,54
aKTdT,zf,HTC,0.008397224022787,67
NTUkO,zf,CTS,0.766339052400612,50
KtCpK,zf,TUW,0.682762312709176,86
PhTYU,zf,CTS,0.52315465929433,3
KFFJU,ac,TUW,0.1790889561245,57
UXWCP,em,TUW,0.156913516814673,42
BkTbV,em,CTS,0.265728206545376,25
IfUdF,ac,HTC,0.821034381774208,73
ZuRoI,em,TUW,0.596284915948525,12
eRuYh,ac,TUW,0.990974017582042,89
aKTdT,mk,TUW,0.667127741318914,88
NTUkO,mk,HTC,0.008637658112554,92
KtCpK,ac,HTC,0.447997932381237,67
PhTYU,zf,CTS,0.747834338070029,95
KFFJU,ac,CTS,0.96009568814381,15
UXWCP,em,CTS,0.395105776546806,84
BkTbV,ac,HTC,0.407538310075865,5
IfUdF,em,HTC,0.531898186097887,97
ZuRoI,ac,HTC,0.862764689030478,21
eRuYh,em,CTS,0.838619416774499,13
aKTdT,mk,TUW,0.240044362569395,59
NTUkO,ac,CTS,0.452092245058111,53
KtCpK,zf,TUW,0.221530327209628,56
PhTYU,mk,CTS,0.17993776991904,54
KFFJU,ac,TUW,0.150822174694415,79
UXWCP,zf,TUW,0.90723586041845,14
BkTbV,ac,CTS,0.269773395521483,91
IfUdF,em,CTS,0.904308467253265,68
ZuRoI,ac,TUW,0.336874237431115,81
eRuYh,zf,HTC,0.699352349762703,31
aKTdT,zf,CTS,0.840492928724366,92
NTUkO,zf,HTC,0.422471754198379,94
KtCpK,ac,TUW,0.574119628682091,23
PhTYU,zf,TUW,0.560165672910281,88
KFFJU,mk,HTC,0.259037836553192,18
UXWCP,em,HTC,0.001131219448095,45
BkTbV,em,TUW,0.121679136404306,87
IfUdF,ac,TUW,0.618289022023149,94
ZuRoI,em,CTS,0.474952902171224,56
eRuYh,zf,TUW,0.188146653523546,86
aKTdT,zf,TUW,0.668589999062097,75
NTUkO,em,CTS,0.441058792725946,98
KtCpK,zf,HTC,0.595677561997591,42
PhTYU,em,CTS,0.823271951473767,67
KFFJU,mk,HTC,0.598407060328111,66
UXWCP,ac,CTS,0.474479974259675,43
BkTbV,zf,TUW,0.744324243305869,5
IfUdF,ac,HTC,0.857266006190084,40
ZuRoI,em,HTC,0.407917109755626,87
eRuYh,ac,CTS,0.729127306057816,29
aKTdT,mk,HTC,0.341649795622634,95
NTUkO,mk,TUW,0.448566196209396,3
KtCpK,ac,TUW,0.466364099847966,4
PhTYU,zf,HTC,0.544080473447414,23
KFFJU,zf,CTS,0.908308739194116,7
UXWCP,em,HTC,0.439525179442292,89
BkTbV,zf,CTS,0.410167102927508,6
IfUdF,zf,HTC,0.078996903978085,99
ZuRoI,em,TUW,0.724265266794619,40
eRuYh,zf,CTS,0.842864161095138,90
aKTdT,ac,TUW,0.412381097841703,86
NTUkO,zf,TUW,0.611952137767305,44
KtCpK,ac,HTC,0.553133836627915,74
PhTYU,zf,CTS,0.266116069689369,3
KFFJU,zf,CTS,0.618169934100226,47
UXWCP,zf,CTS,0.04880561983306,87
BkTbV,em,TUW,0.850186259970124,42
IfUdF,ac,TUW,0.916611992017966,27
ZuRoI,mk,TUW,0.937363424557563,67
eRuYh,em,HTC,0.206454054039944,61
aKTdT,mk,TUW,0.135512259262636,43
NTUkO,ac,HTC,0.308763554896643,56
KtCpK,em,HTC,0.135887940198542,95
PhTYU,mk,TUW,0.265915451813498,25
